genero,nome,data_nascimento,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,salario_bruto_par,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab
M,SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,31/08/1968,61,31,0,2,10,9,"33.763,00",0,"378.360,98","32.611,71","61.997,85","45.761,75","50.783,90","40.852,42","33.153,10","37.014,05","32.841,73","22.279,93","20.304,61","759,93",0,111550.4,111550.4,111151.62,108271.62,111550.4,111283.71,107107.52,111550.44,111475.23,110070.98,0,0,1105562.3199999998
M,SÉRGIO LUÍS LACERDA BRITO,08/06/1961,69,10,13,6,4,20,"33.763,00",0,"350.373,14","45.663,60","42.654,52","52.570,85","42.077,69","38.621,82","34.830,22","44.740,63","15.255,91","11.831,58","20.879,61","1.246,71",0,111512.47,111637.96,111607.2,111538.25,111538.25,111179.96,111280.54,111378.74,111647.19,110850.06,0,0,1114170.62
M,SERGIO DE SOUZA,13/03/1971,84,4,4,20,0,0,"33.763,00",2,"358.410,70","44.666,86","38.116,97","56.387,62","38.979,42","54.101,56","36.334,73","28.323,07","27.848,37","7.279,42","25.087,44","1.285,24",0,103465.18,111598.82,111598.82,108459.16,95170.25,107026.01,111202.02,111526.06,111526.06,111526.06,0,0,1083098.4400000002
M,SERGIO TOLEDO DE ALBUQUERQUE,29/01/1962,47,44,1,1,20,1,"33.763,00",0,"288.222,22","30.247,71","39.363,12","39.439,74","40.960,33","29.762,44","19.142,21","17.310,55","25.965,33","22.299,28","23.731,51",0,0,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,0,0,1115988.9
M,SIDNEY RICARDO DE OLIVEIRA LEITE,08/04/1967,84,0,8,59,0,7,"33.763,00",0,"275.944,45","8.648,68","35.886,24","88.152,88","30.161,65","54.238,48","27.619,45","17.293,50","2.933,41","2,45","10.801,00","206,71",0,111580.83,110906.22,107595.38,111325.25,111241.15,111562.02,111659.67,111659.67,111591.32,107626.27,0,0,1106747.78
M,SILAS CÂMARA,15/12/1962,68,18,6,14,20,15,"33.763,00",0,"372.291,46","53.511,75","30.068,31","89.746,79","49.917,31","26.361,91","26.004,72","3.334,78","49.845,67","36.031,91","7.468,31",0,0,110677.96,110638.64,109858.49,104374.6,104374.6,105000.6,106461.25,107232.58,107789.66,107692.99,0,0,1074101.37
M,SEVERINO DE LIRA PESSÔA,06/02/1970,79,6,7,13,2,16,"33.763,00",0,"349.305,31","56.448,73","40.975,67","38.983,26","51.480,91","46.528,02","20.039,00","12.962,54","10.449,32","2,30","71.435,56",0,0,107456.07,107456.07,110847.44,108039.99,109624.62,110681.41,110195.41,109900.71,111249.56,101856.79,0,0,1087308.07
M,SOSTENES SILVA CAVALCANTE,16/01/1975,90,1,1,22,3,50,"33.763,00",0,"306.111,03","34.347,99","36.686,76","37.385,24","34.187,85","42.574,72","33.422,21","27.180,57","16.640,69","10.097,79","32.778,32","808,89",0,111471.63,111471.65,110392.32,109919.18,110901.44,110898.63,111435.26,111435.26,111435.26,111435.26,0,0,1110795.89
M,SILVIO SERAFIM COSTA FILHO,05/03/1982,80,6,6,31,2,6,"33.763,00",0,"395.483,24","30.879,38","35.595,55","50.370,63","44.280,75","48.544,47","36.480,91","35.984,13","48.988,28","27.163,19","37.195,95",0,0,111550.59,111550.59,111327.92,111550.59,110788.05,111550.59,111550.59,111550.59,111550.59,111550.59,0,0,1114520.69
M,LUIZ GONZAGA RIBEIRO,31/05/1962,86,3,3,95,2,15,"33.763,00",0,"325.228,33","22.268,14","23.651,34","39.632,53","43.427,86","54.538,56","30.205,10","35.399,21","27.745,12","24.901,42","22.874,33","584,72",0,111544.49,111544.49,111535.88,111461.97,110137.2,109363.2,110137.2,110137.2,110137.2,111164.48,0,0,1107163.3099999998
