genero,nome,data_nascimento,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,salario_bruto_par,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab
F,MAGDA MOFATTO HON,26/10/1948,77,3,12,28,6,36,"33.763,00",0,"248.362,06","41.429,43","31.068,63","47.136,54","47.632,39","46.414,73","19.428,88","6.001,17","8.505,69","395,33","349,27",0,0,103642.03,111061.35,110458.33,109242.74,110160.73,111392.46,111429.23,111429.23,100201.81,100742.41,0,0,1079760.3199999998
F,TEREZA NELMA DA SILVA PORTO VIANA SOARES,07/10/1957,79,13,0,103,49,36,"33.763,00",0,"366.423,07","42.581,54","41.297,61","47.878,77","54.271,73","56.885,66","33.460,03","30.126,11","27.479,91","24.726,16","3.330,45","4.385,10",0,111471.49,109973.66,109423.19,109733.42,109422.19,104705.24,109483.86,110785.88,110860.47,110833.78,0,0,1096693.18
F,MARIA DO PARTO MENDES ROSAS,01/10/1965,62,0,0,41,0,2,"33.763,00",0,"187.686,02","18.825,99","31.183,42","39.925,50","29.239,92","24.673,76","27.178,62","16.458,81","200,00",0,0,0,0,106936.54,107061.76,110238.71,111538.37,111538.37,109915.15,107599.1,111210.42,111538.37,111538.37,0,0,1099115.1600000001
F,MARIA DO ROSÁRIO NUNES,22/11/1966,77,6,9,48,12,22,"33.763,00",0,"390.396,84","45.949,20","43.740,41","69.986,28","49.177,17","42.746,98","41.192,91","36.138,61","26.246,21","12.312,33","20.719,64","2.187,10",0,108772.35,108772.35,108876.06,111047.03,106150.54,107898.86,108449.48,109367.19,110743.74,110743.74,0,0,1090821.34
F,MARGARETE DE CASTRO COELHO,12/03/1961,81,10,1,58,9,18,"33.763,00",2,"379.382,14","45.113,84","50.976,40","52.735,60","50.764,85","28.872,48","40.798,70","35.963,33","15.107,77","13.877,11","44.057,01","1.115,05",0,110943.91,108857.07,110120.74,99024.19,107482.1,108590.38,108590.38,108590.38,108590.38,108590.38,0,0,1079379.9100000001
F,TALIRIA PETRONE SOARES,09/04/1985,76,14,2,27,19,32,"33.763,00",0,"273.733,18","35.801,22","32.189,96","31.865,89","45.403,28","29.413,08","37.323,98","24.098,94","23.355,39","10.439,80","3.279,24","562,40",0,111647.51,111647.51,111647.51,111555.29,111584.31,111647.53,111647.53,110216.76,111417.0,111276.31,0,0,1114287.26
F,CYLMARA FERNANDES DA ROCHA GRIPP,04/09/1973,77,14,1,30,6,16,"33.763,00",0,"431.336,20","56.886,05","57.867,30","54.199,26","62.724,01","46.657,40","33.841,62","21.007,85","23.443,28","30.345,94","44.363,49",0,0,110779.96,110779.96,110779.96,110779.96,110779.96,109894.35,110779.96,110983.86,111574.61,111492.81,0,0,1108625.39
F,ANGELA REGINA HEINZEN AMIN HELOU,20/12/1953,88,4,0,61,1,0,"33.763,00",1,"335.603,46","32.420,59","44.149,40","54.673,99","50.177,80","45.917,82","36.925,47","34.965,84","19.369,26","7.069,38","9.738,31","195,60",0,108469.01,109010.6,110962.23,109111.95,109111.95,108914.61,107061.71,107061.71,107061.71,110877.26,0,0,1087642.7399999998
F,MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR,12/04/1984,64,21,7,3,5,5,"33.763,00",0,"287.696,14","13.902,07","25.170,41","93.784,61","29.683,86","54.406,01","14.216,62","21.165,20","14.176,43","9.508,71","10.398,31","1.283,91",0,108653.71,111429.12,111429.12,109087.1,107972.58,111617.16,110853.68,111354.04,98888.69,87984.76,0,0,1069269.96
F,MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,26/11/1986,53,4,4,14,4,6,"33.763,00",1,"203.702,64","20.869,22","24.814,35","47.199,17","40.425,87","61.996,18","1.826,39","6.249,12","322,34",0,0,0,0,110447.75,111310.98,111014.24,111416.94,111416.94,110963.22,109667.84,104478.85,105163.12,101764.09,0,0,1087643.97
